,Arcade and Action,Books and Reference,Brain and Puzzle,Business,Cards and Casino,Casual,Comics,Communication,Education,Entertainment,Finance,Health and Fitness,Libraries and Demo,Lifestyle,Media and Video,Medical,Music and Audio,News and Magazines,Personalization,Photography,Productivity,Racing,Shopping,Social,Sports,Sports Games,Tools,Transportation,Travel and Local,Weather
Arcade and Action,418,3,31,0,10,92,1,1,1,6,0,1,1,4,0,1,1,0,8,2,1,43,1,1,1,37,4,0,1,1
Books and Reference,4,409,9,13,1,2,10,11,71,11,3,20,11,56,3,7,15,5,3,3,14,0,4,16,2,1,11,3,11,1
Brain and Puzzle,43,8,478,2,24,65,1,0,42,5,1,1,0,1,1,1,5,0,2,4,0,4,0,1,0,8,2,0,0,0
Business,1,12,3,337,1,0,0,35,9,0,58,6,10,23,11,2,5,14,1,4,47,0,32,11,1,0,25,21,15,0
Casual,105,1,85,1,18,347,4,0,19,36,2,4,5,13,2,2,12,0,15,5,0,19,2,4,2,18,4,1,0,0
Cards and Casino,16,2,27,0,602,16,0,0,1,9,0,2,2,5,1,0,1,0,2,0,2,5,0,0,3,6,1,0,0,0
Comics,9,30,4,0,0,3,163,6,5,24,0,0,0,13,3,1,5,7,50,12,5,0,1,7,0,1,8,0,1,1
Communication,0,13,0,33,1,0,1,443,4,11,2,1,7,8,10,0,9,6,9,4,31,0,7,53,0,0,45,6,10,2
Education,3,90,35,10,2,15,4,3,422,13,4,7,9,28,11,11,14,12,2,3,20,2,0,6,2,1,5,2,5,2
Entertainment,15,12,12,4,9,27,12,14,14,208,0,7,3,41,87,1,58,7,39,57,4,4,1,17,8,1,23,1,3,3
Finance,0,1,0,43,2,0,0,2,1,2,583,3,1,8,0,1,0,3,0,0,10,0,17,2,2,0,7,9,3,2
Health and Fitness,4,13,2,8,1,5,0,1,6,9,3,503,4,45,4,76,15,6,1,0,5,0,5,10,10,0,15,5,7,3
Libraries and Demo,0,27,8,14,1,5,1,14,9,21,4,4,212,14,7,2,13,0,27,19,13,2,2,5,1,1,38,3,8,4
Lifestyle,1,68,1,22,2,11,2,16,19,36,7,39,7,211,10,3,20,11,18,22,24,1,71,26,9,0,34,12,20,3
Media and Video,1,6,1,8,0,0,4,5,3,65,0,1,8,10,396,1,90,7,12,65,14,2,2,10,5,0,21,0,0,1
Medical,0,13,3,12,3,0,1,3,23,9,3,78,1,13,1,459,7,3,1,0,8,0,4,2,1,0,5,0,4,0
Music and Audio,1,19,1,2,0,0,0,3,7,25,0,9,6,18,30,1,551,12,5,0,8,4,0,5,4,0,10,4,0,0
News and Magazines,1,13,0,10,1,1,0,3,3,12,4,2,3,8,6,2,10,558,1,1,5,0,2,9,16,0,4,6,5,24
Personalization,1,1,0,3,0,0,9,11,0,17,0,2,2,5,5,1,12,2,572,16,16,2,2,1,2,3,22,1,0,7
Photography,1,3,2,1,0,1,1,0,1,34,1,0,6,14,24,0,0,3,24,575,4,2,1,17,0,1,8,3,1,1
Productivity,0,12,1,63,0,1,9,53,8,7,7,8,9,17,18,1,10,0,23,8,239,2,16,14,0,0,114,2,8,6
Racing,71,2,13,0,5,11,0,1,0,4,1,1,1,1,0,0,1,0,9,1,0,507,1,0,2,16,1,3,2,0
Shopping,0,8,2,24,2,2,1,7,1,4,23,3,5,45,3,1,0,8,3,6,7,1,527,10,1,0,4,9,16,0
Social,1,22,2,14,2,4,4,68,15,17,2,3,9,43,9,4,5,18,8,31,14,0,9,384,6,0,14,6,11,1
Sports,1,8,3,5,7,5,0,3,11,7,0,22,0,11,9,1,6,25,8,4,5,4,1,4,420,14,9,7,13,8
Sports Games,63,2,14,1,12,24,0,0,0,6,1,3,0,5,0,0,3,1,6,0,1,24,1,0,23,241,1,0,0,0
Tools,2,12,4,26,0,1,2,64,3,14,12,3,17,18,31,2,7,4,27,8,104,0,6,8,1,0,305,14,11,3
Transportation,0,5,0,18,0,0,0,6,5,3,8,2,3,6,3,2,2,2,2,3,5,6,3,4,5,0,11,486,118,8
Travel and Local,0,14,1,10,2,0,2,14,8,4,7,2,4,15,2,1,2,6,0,2,1,1,13,11,1,0,10,131,440,9
Weather,0,5,0,0,0,0,0,0,0,1,3,0,2,13,1,2,0,12,11,1,3,0,3,2,1,0,8,5,10,401